Feature,Importance
Feature_1,0.09173996712610717
Feature_2,0.05285907492093251
Feature_3,0.07528793062289349
Feature_4,0.08013476979223677
Feature_5,0.011473821715361205
Feature_6,0.11832001164462681
Feature_7,0.03245057518199278
Feature_8,0.09555883819094227
Feature_9,0.11130886609071694
Feature_10,0.16242818657846708
Feature_11,0.02196343931969414
Feature_12,0.050234129842495645
Feature_13,0.013094161829531041
Feature_14,0.015990586532157427
Feature_15,0.0
Feature_16,0.03614441378677087
Feature_17,0.03101122682507389
